Ref,Round,Rigor,GPA,ACT,SAT,Accepted
892086262,2014 Fall,4,,,1310,1
214816086,2014 Fall,4,,,1150,1
712893018,2014 Fall,4,,,1450,1
59273611,2015 Fall,4,,,1240,1
532244154,2015 Fall,4,,,1190,1
673547000,2015 Fall,3,,,1270,1
486728235,2015 Fall,4,,,1290,1
655868701,2016 Fall,4,,,1310,1
400244699,2017 Fall,3,,,1340,1
379902473,2014 Fall,4,,,1230,1
501083418,2014 Fall,2,,,1400,1
89115496,2014 Fall,2,,,1220,1
126163537,2014 Fall,,,,1550,1
182607404,2014 Fall,4,,,1380,1
328065069,2014 Fall,3,,,1370,1
430890700,2014 Fall,2,,,1440,1
815784211,2014 Fall,3,,32,,1
932076536,2014 Fall,2,,29,,1
204495897,2014 Fall,4,,20,,1
288288735,2014 Fall,4,,,1330,1
405742755,2015 Fall,1,,,1430,1
711035400,2015 Fall,4,,,1470,1
178623750,2015 Fall,4,,,1090,1
258626608,2015 Fall,2,,,1330,1
592625152,2015 Fall,4,,,1130,1
790489050,2015 Fall,4,,,1340,1
846194209,2015 Fall,3,,,1410,1
59613239,2016 Fall,4,,,1130,1
216343829,2016 Fall,4,,,1130,1
266469786,2016 Fall,4,,34,,1
15877398,2017 Fall,3,,,1210,1
168590005,2017 Fall,5,,,1470,1
640934644,2017 Fall,5,,,1300,1
491733433,2017 Fall,4,,,1340,1
5797787,2014 Fall,4,,,1470,1
55298374,2014 Fall,,,29,,1
419177851,2014 Fall,5,,,1450,1
437826317,2014 Fall,4,,29,,1
720374487,2014 Fall,4,,,1560,1
983728289,2014 Fall,4,,,1310,1
1900370,2015 Fall,3,,,1460,1
150971617,2015 Fall,4,,,1430,1
168580098,2015 Fall,4,,,1270,1
507929059,2015 Fall,4,,,1340,1
705715557,2015 Fall,4,,29,1310,1
732401275,2015 Fall,4,,,1230,1
923452116,2015 Fall,3,,,1420,1
498058898,2015 Fall,4,,29,,1
593878369,2015 Fall,2,,31,,1
635899230,2015 Fall,3,,,1300,1
427566739,2016 Fall,3,,,1250,1
556801749,2015 Fall,4,,,1420,1
503210985,2015 Fall,3,,26,,1
993745572,2016 Fall,2,,,1490,1
591120400,2017 Fall,1,4.89,,1560,1
356751273,2015 Fall,3,4.86,,1360,1
308849081,2016 Fall,1,4.85,34,1580,1
615860821,2016 Fall,1,4.85,,1290,1
984891099,2015 Fall,1,4.84,35,1600,1
419794942,2016 Fall,1,4.84,34,1440,1
224792914,2014 Fall,1,4.81,,1490,1
924773998,2014 Fall,1,4.81,34,,1
584971274,2016 Fall,1,4.8,,1440,1
231543653,2014 Fall,1,4.79,,1310,1
672800822,2015 Fall,1,4.79,34,1410,1
156061101,2016 Fall,1,4.79,,1470,1
302753446,2014 Fall,1,4.79,,1510,1
937437705,2016 Fall,2,4.78,33,,1
889687148,2016 Fall,1,4.78,32,1470,1
113160299,2016 Fall,1,4.78,30,1510,1
982357228,2017 Fall,1,4.78,34,1430,1
910066139,2017 Fall,1,4.78,,1440,1
400900927,2015 Fall,2,4.77,33,1420,1
160391672,2014 Fall,1,4.77,35,1490,1
199891883,2015 Fall,1,4.77,,1520,1
748572797,2016 Fall,1,4.77,,1580,1
649944101,2014 Fall,1,4.77,,1390,1
968658722,2015 Fall,1,4.76,31,1500,1
566763003,2017 Fall,1,4.76,27,1240,1
130564166,2014 Fall,1,4.76,34,1540,1
328285029,2017 Fall,1,4.76,34,1580,1
425296830,2017 Fall,1,4.76,34,1520,1
129089671,2017 Fall,1,4.76,25,,1
67564183,2016 Fall,1,4.75,24,,1
165649649,2017 Fall,1,4.75,33,1440,1
75279680,2017 Fall,1,4.75,32,1430,1
977312730,2017 Fall,1,4.75,,1500,1
986933157,2014 Fall,2,4.74,30,1480,1
223290412,2016 Fall,1,4.74,28,1370,1
808275783,2014 Fall,1,4.74,,1230,1
933462300,2014 Fall,1,4.74,30,1480,1
507622986,2016 Fall,1,4.74,30,,1
365915682,2017 Fall,1,4.74,34,1550,1
995132477,2014 Fall,1,4.74,,1310,1
71163455,2015 Fall,2,4.74,,1530,1
449043360,2017 Fall,1,4.74,,1570,1
336948031,2017 Fall,1,4.73,32,,1
468148356,2015 Fall,1,4.73,31,,1
427149108,2017 Fall,1,4.73,32,1410,1
885227788,2015 Fall,1,4.73,30,1480,1
211990412,2015 Fall,1,4.73,26,1540,1
900833964,2016 Fall,1,4.73,,1430,1
162056838,2014 Fall,1,4.73,28,,1
987249995,2014 Fall,1,4.73,32,,1
126862276,2016 Fall,1,4.73,33,1590,1
542925672,2016 Fall,1,4.72,28,1410,1
56334927,2016 Fall,1,4.72,35,,1
66828496,2017 Fall,1,4.72,33,1420,1
475057300,2017 Fall,1,4.72,,1100,1
37501089,2015 Fall,1,4.72,32,1370,1
487750661,2015 Fall,1,4.72,32,1420,1
18480863,2017 Fall,3,4.72,34,1470,1
847189099,2017 Fall,1,4.72,,1320,1
785121599,2017 Fall,1,4.72,31,,1
331384974,2015 Fall,1,4.71,,1480,1
145174619,2015 Fall,1,4.71,,1410,1
788052324,2015 Fall,4,4.71,,1410,1
869314278,2015 Fall,1,4.71,,1410,1
413731541,2016 Fall,2,4.71,28,1480,1
126880501,2015 Fall,1,4.71,28,,1
927207081,2016 Fall,1,4.71,,1590,1
865166130,2017 Fall,1,4.71,34,,1
17244584,2014 Fall,1,4.71,34,1480,1
704873730,2015 Fall,1,4.71,,1450,1
127094505,2016 Fall,1,4.7,31,1340,1
48511967,2015 Fall,1,4.7,,1150,1
298282249,2017 Fall,1,4.7,30,,1
889637834,2014 Fall,2,4.7,,1500,1
428783782,2014 Fall,2,4.7,,1570,1
877694867,2016 Fall,1,4.7,28,1510,1
893116044,2016 Fall,1,4.7,,1580,1
781462817,2017 Fall,1,4.7,33,1480,1
844895993,2017 Fall,1,4.7,34,1460,1
910928287,2014 Fall,1,4.7,31,1370,1
822822317,2017 Fall,1,4.7,,1510,1
41180485,2014 Fall,1,4.7,,1550,1
352528258,2015 Fall,3,4.69,,1540,1
381107192,2016 Fall,2,4.69,,1560,1
253640680,2017 Fall,3,4.69,31,,1
995754712,2014 Fall,1,4.69,,1510,1
153306906,2014 Fall,1,4.69,33,,1
268390256,2015 Fall,3,4.69,31,1480,1
769805261,2015 Fall,1,4.69,28,1260,1
85982674,2015 Fall,3,4.69,35,,1
995285522,2016 Fall,1,4.69,35,,1
17829302,2017 Fall,1,4.69,31,1460,1
824142999,2015 Fall,1,4.69,30,,1
842825277,2015 Fall,3,4.69,34,1460,1
211963928,2015 Fall,1,4.69,28,1270,1
419178866,2015 Fall,1,4.69,,1520,1
593372617,2015 Fall,1,4.69,34,,1
260045260,2016 Fall,1,4.69,33,1520,1
920052767,2016 Fall,1,4.68,25,1150,1
910847747,2016 Fall,2,4.68,,1420,1
226368793,2016 Fall,1,4.68,35,1440,1
11568911,2017 Fall,2,4.68,32,,1
394688984,2017 Fall,1,4.68,33,,1
96330861,2014 Fall,2,4.68,,1480,1
88787108,2014 Fall,1,4.68,32,,1
157342472,2014 Fall,1,4.68,,1370,1
159557008,2014 Fall,1,4.68,,1470,1
294633883,2015 Fall,2,4.68,33,,1
519333046,2016 Fall,1,4.68,28,,1
108735608,2017 Fall,1,4.68,,1500,1
131925919,2017 Fall,1,4.68,33,,1
488691445,2017 Fall,1,4.68,33,,1
710757106,2017 Fall,1,4.68,,1490,1
928188758,2017 Fall,1,4.68,32,1420,1
13027157,2015 Fall,4,4.68,27,1310,1
48237200,2014 Fall,1,4.67,,1510,1
1909871,2014 Fall,1,4.67,34,1540,1
444671982,2014 Fall,1,4.67,31,1460,1
595937872,2014 Fall,1,4.67,,1480,1
374477489,2015 Fall,1,4.67,32,1490,1
437815239,2015 Fall,1,4.67,30,,1
394836934,2016 Fall,1,4.67,,1280,1
343876965,2015 Fall,2,4.67,,1500,1
822294211,2015 Fall,1,4.67,32,1530,1
85773502,2015 Fall,1,4.67,,1590,1
133406838,2014 Fall,1,4.66,,1380,1
523860066,2015 Fall,3,4.66,32,1360,1
891629692,2015 Fall,2,4.66,,1330,1
4936634,2015 Fall,1,4.66,28,,1
639203126,2017 Fall,1,4.66,25,1170,1
472083378,2017 Fall,1,4.66,31,1380,1
469987728,2015 Fall,1,4.66,35,1580,1
857809275,2015 Fall,1,4.66,34,,1
939474410,2015 Fall,1,4.66,,1600,1
187645807,2016 Fall,1,4.66,30,1520,1
979587467,2015 Fall,1,4.66,34,1450,1
922326882,2015 Fall,1,4.66,33,1420,1
564863045,2015 Fall,3,4.66,33,1520,1
22423562,2016 Fall,5,4.65,28,,1
520342678,2014 Fall,1,4.65,31,1460,1
472124926,2015 Fall,1,4.65,,1400,1
56859403,2017 Fall,1,4.65,31,1340,1
48230481,2017 Fall,1,4.65,,1310,1
16452102,2014 Fall,1,4.65,33,1510,1
47864845,2014 Fall,1,4.65,,1240,1
697886136,2014 Fall,1,4.65,33,,1
188448908,2015 Fall,1,4.65,30,1340,1
805944692,2015 Fall,1,4.65,31,,1
513875623,2015 Fall,1,4.65,31,1460,1
59941720,2015 Fall,3,4.65,29,1340,1
348648513,2016 Fall,1,4.65,33,1510,1
139716638,2017 Fall,1,4.65,,1540,1
870277793,2017 Fall,2,4.65,,1360,1
916130583,2014 Fall,1,4.65,34,1510,1
920728514,2017 Fall,1,4.65,27,1360,1
902893358,2014 Fall,1,4.65,35,,1
93018487,2014 Fall,3,4.64,,1510,1
340228697,2015 Fall,2,4.64,28,1360,1
533759724,2015 Fall,1,4.64,,1490,1
48151882,2015 Fall,1,4.64,32,1350,1
285319380,2015 Fall,1,4.64,,1440,1
878721250,2016 Fall,1,4.64,,1480,1
104346398,2017 Fall,1,4.64,,1390,1
922753514,2017 Fall,1,4.64,,1250,1
771195832,2017 Fall,1,4.64,33,1520,1
982609634,2014 Fall,1,4.64,,1420,1
284958703,2014 Fall,1,4.64,,1420,1
893188939,2014 Fall,3,4.64,30,1420,1
380701599,2015 Fall,1,4.64,,1430,1
538998760,2016 Fall,3,4.64,29,1480,1
213877985,2017 Fall,1,4.64,,1490,1
962781596,2017 Fall,3,4.64,,1470,1
858580156,2015 Fall,1,4.64,35,,1
787824878,2016 Fall,4,4.63,23,,1
734826108,2014 Fall,3,4.63,,1540,1
54877064,2014 Fall,2,4.63,33,1420,1
191784891,2014 Fall,2,4.63,33,1490,1
761700557,2015 Fall,1,4.63,28,1200,1
382333251,2016 Fall,1,4.63,29,1450,1
762158301,2016 Fall,2,4.63,29,,1
50041247,2016 Fall,2,4.63,30,1230,1
444135877,2016 Fall,1,4.63,34,1410,1
229675317,2017 Fall,2,4.63,35,,1
633168460,2017 Fall,2,4.63,34,,1
685579170,2017 Fall,3,4.63,32,1420,1
968850417,2017 Fall,4,4.63,,1350,1
375887097,2014 Fall,3,4.63,,1410,1
1905474,2014 Fall,1,4.63,,1480,1
669207099,2015 Fall,1,4.63,,1520,1
165391337,2016 Fall,3,4.63,31,1340,1
381241678,2016 Fall,1,4.63,30,1340,1
885054739,2016 Fall,1,4.63,32,1570,1
473788507,2017 Fall,1,4.63,32,1520,1
857404276,2014 Fall,2,4.63,,1510,1
608455534,2015 Fall,1,4.63,,1420,1
25490422,2016 Fall,2,4.63,34,,1
124173022,2015 Fall,1,4.62,25,1410,1
335745011,2015 Fall,1,4.62,32,1400,1
434570014,2015 Fall,3,4.62,,1150,1
465225075,2015 Fall,3,4.62,31,,1
760946316,2015 Fall,2,4.62,32,1410,1
284896392,2016 Fall,2,4.62,32,1450,1
524124135,2016 Fall,1,4.62,34,,1
909637094,2016 Fall,2,4.62,27,1220,1
570191631,2016 Fall,2,4.62,,1480,1
87030679,2014 Fall,1,4.62,28,1380,1
191041309,2015 Fall,2,4.62,31,,1
491522030,2016 Fall,1,4.62,32,,1
184786588,2017 Fall,1,4.62,22,1200,1
340437481,2017 Fall,2,4.62,31,1460,1
778457203,2017 Fall,1,4.62,32,1460,1
919788919,2017 Fall,1,4.62,,1300,1
510030481,2014 Fall,3,4.62,30,1380,1
769698716,2015 Fall,3,4.62,,1510,1
272254722,2015 Fall,1,4.62,,1440,1
561851409,2017 Fall,1,4.62,35,1540,1
207547600,2015 Fall,1,4.61,,1380,1
947461750,2015 Fall,3,4.61,31,1530,1
534909691,2016 Fall,3,4.61,27,1290,1
725323086,2016 Fall,1,4.61,30,1220,1
29561595,2016 Fall,3,4.61,,1370,1
808747254,2016 Fall,1,4.61,34,1520,1
770974964,2017 Fall,1,4.61,,1410,1
536206693,2017 Fall,1,4.61,28,1220,1
567963835,2017 Fall,1,4.61,35,,1
521243120,2014 Fall,3,4.61,,1470,1
85908516,2014 Fall,1,4.61,,1410,1
213624240,2014 Fall,2,4.61,,1500,1
581960679,2014 Fall,1,4.61,30,,1
610896570,2015 Fall,1,4.61,,1460,1
161042420,2015 Fall,1,4.61,34,,1
164155116,2015 Fall,1,4.61,,1370,1
668662177,2016 Fall,2,4.61,33,1440,1
714424433,2017 Fall,1,4.61,,1490,1
802897016,2017 Fall,1,4.61,35,1570,1
924991116,2017 Fall,1,4.61,,1400,1
29139506,2014 Fall,1,4.61,,1410,1
29565692,2015 Fall,1,4.61,27,1360,1
902141598,2014 Fall,2,4.61,33,1450,1
376151409,2016 Fall,2,4.6,,1230,1
497901101,2014 Fall,3,4.6,28,1120,1
39928375,2015 Fall,2,4.6,,1440,1
53412810,2015 Fall,1,4.6,,1470,1
136472045,2015 Fall,1,4.6,33,1470,1
287221771,2015 Fall,2,4.6,26,,1
509938538,2015 Fall,1,4.6,31,,1
506127086,2017 Fall,1,4.6,,1410,1
1872388,2014 Fall,1,4.6,34,,1
135981141,2016 Fall,1,4.6,31,1510,1
808882465,2016 Fall,1,4.6,30,1480,1
22998608,2017 Fall,2,4.6,,1570,1
181545838,2017 Fall,3,4.6,,1380,1
369933963,2014 Fall,1,4.6,29,1380,1
806503859,2014 Fall,1,4.6,,1510,1
196340775,2017 Fall,1,4.6,32,1410,1
883536710,2014 Fall,1,4.59,,1420,1
377709507,2015 Fall,3,4.59,32,1380,1
611781296,2015 Fall,1,4.59,30,1430,1
769197743,2015 Fall,3,4.59,29,,1
306454473,2016 Fall,3,4.59,33,1460,1
607117504,2017 Fall,3,4.59,30,,1
832623250,2017 Fall,4,4.59,,1470,1
4168571,2014 Fall,1,4.59,35,1530,1
47409938,2014 Fall,1,4.59,32,,1
759140714,2015 Fall,3,4.59,31,,1
876805156,2015 Fall,1,4.59,,1380,1
466872997,2015 Fall,2,4.59,30,1470,1
565477822,2015 Fall,1,4.59,32,1460,1
706359767,2015 Fall,3,4.59,27,,1
928859651,2015 Fall,3,4.59,33,1480,1
968553550,2015 Fall,1,4.59,,1600,1
222551313,2016 Fall,1,4.59,,1530,1
395255413,2017 Fall,1,4.59,,1340,1
825541921,2017 Fall,1,4.59,30,1510,1
902141598,2015 Fall,,4.59,33,1450,1
626786716,2016 Fall,1,4.58,,1250,1
651167356,2016 Fall,1,4.58,,1460,1
209467106,2014 Fall,1,4.58,,1380,1
316431849,2015 Fall,1,4.58,35,,1
361163817,2015 Fall,3,4.58,29,,1
32111341,2016 Fall,1,4.58,30,,1
346902935,2016 Fall,2,4.58,,1420,1
806673116,2016 Fall,3,4.58,27,,1
543860451,2017 Fall,1,4.58,,1210,1
615716593,2014 Fall,1,4.58,30,,1
84410778,2014 Fall,1,4.58,27,,1
459985752,2015 Fall,1,4.58,30,1440,1
919126487,2015 Fall,1,4.58,31,1370,1
55946409,2015 Fall,1,4.58,,1340,1
163466672,2016 Fall,2,4.58,31,1390,1
764604245,2016 Fall,1,4.58,32,1550,1
533749320,2016 Fall,1,4.58,35,,1
663075778,2017 Fall,1,4.58,32,,1
161212649,2017 Fall,2,4.58,,1590,1
166510040,2014 Fall,2,4.58,,1540,1
635917250,2017 Fall,1,4.57,22,1130,1
495757987,2014 Fall,3,4.57,,1370,1
587453238,2014 Fall,1,4.57,,1340,1
263781760,2015 Fall,1,4.57,27,1310,1
184541747,2015 Fall,1,4.57,,1370,1
122226914,2016 Fall,1,4.57,35,1460,1
254903125,2016 Fall,3,4.57,,1180,1
534229316,2016 Fall,1,4.57,34,,1
988538234,2016 Fall,1,4.57,29,1280,1
289471557,2017 Fall,1,4.57,,1280,1
846992154,2017 Fall,1,4.57,31,,1
36092058,2014 Fall,3,4.57,27,1250,1
115295699,2014 Fall,1,4.57,31,1420,1
427799320,2014 Fall,1,4.57,33,1560,1
728826520,2014 Fall,2,4.57,,1480,1
478054002,2014 Fall,1,4.57,,1510,1
121568207,2015 Fall,1,4.57,,1340,1
359859401,2016 Fall,1,4.57,32,,1
626493818,2016 Fall,1,4.57,,1460,1
57741820,2017 Fall,2,4.57,28,,1
743030864,2017 Fall,1,4.57,25,1400,1
353212987,2014 Fall,1,4.57,30,,1
873176041,2014 Fall,1,4.57,,1600,1
231588832,2014 Fall,1,4.57,30,,1
57015945,2015 Fall,2,4.57,33,1510,1
509117261,2015 Fall,4,4.57,,1510,1
261412260,2017 Fall,1,4.57,31,,1
857680561,2016 Fall,1,4.56,,1430,1
33896080,2016 Fall,3,4.56,30,,1
197178143,2017 Fall,2,4.56,,1320,1
2026394,2014 Fall,1,4.56,,1310,1
354862782,2014 Fall,2,4.56,,1470,1
571901427,2014 Fall,2,4.56,,1530,1
719505353,2014 Fall,2,4.56,28,1270,1
282040927,2015 Fall,2,4.56,,1540,1
678777517,2015 Fall,2,4.56,28,1380,1
692924861,2015 Fall,2,4.56,,1380,1
793879123,2015 Fall,1,4.56,,1420,1
828335731,2015 Fall,2,4.56,32,,1
964499459,2015 Fall,2,4.56,29,,1
315249226,2016 Fall,1,4.56,31,1300,1
834300554,2016 Fall,2,4.56,,1380,1
880441341,2016 Fall,3,4.56,,1280,1
961169565,2016 Fall,1,4.56,,1420,1
300715659,2017 Fall,2,4.56,31,,1
228777186,2017 Fall,1,4.56,34,1540,1
467320156,2017 Fall,1,4.56,33,,1
147955088,2017 Fall,1,4.56,,1330,1
363325283,2014 Fall,2,4.56,,1340,1
164833450,2014 Fall,3,4.56,,1490,1
254081446,2014 Fall,2,4.56,,1460,1
279218319,2016 Fall,3,4.56,28,,1
152944286,2016 Fall,1,4.56,34,,1
268225172,2016 Fall,1,4.56,34,,1
62974264,2017 Fall,2,4.56,31,,1
700916924,2017 Fall,3,4.56,31,1380,1
924750095,2017 Fall,1,4.56,33,,1
942052841,2017 Fall,1,4.56,34,,1
194433075,2017 Fall,1,4.56,,1300,1
331247191,2017 Fall,2,4.56,31,,1
153644654,2015 Fall,1,4.56,,1560,1
625489290,2015 Fall,1,4.56,,1490,1
546300761,2016 Fall,1,4.56,29,1390,1
156610367,2017 Fall,2,4.56,35,1580,1
562573077,2017 Fall,1,4.56,,1420,1
796275819,2017 Fall,3,4.56,,1380,1
59871275,2016 Fall,,4.55,,1180,1
467198084,2016 Fall,3,4.55,31,,1
187367900,2016 Fall,3,4.55,,1440,1
554990075,2016 Fall,2,4.55,32,1410,1
909928885,2016 Fall,1,4.55,31,1390,1
19119219,2016 Fall,1,4.55,28,1320,1
338189722,2016 Fall,2,4.55,,1360,1
288067944,2017 Fall,1,4.55,,1340,1
325806971,2017 Fall,2,4.55,23,1150,1
562092653,2017 Fall,1,4.55,28,,1
778486266,2017 Fall,2,4.55,,1380,1
822107520,2015 Fall,1,4.55,,1410,1
603450907,2015 Fall,1,4.55,33,,1
229384795,2016 Fall,2,4.55,33,1420,1
326050887,2016 Fall,2,4.55,,1360,1
99200303,2016 Fall,1,4.55,33,,1
385358765,2016 Fall,1,4.55,,1580,1
725145396,2017 Fall,1,4.55,24,1280,1
153022705,2017 Fall,2,4.55,27,,1
583617590,2017 Fall,1,4.55,32,,1
427730453,2015 Fall,1,4.55,31,1430,1
287441107,2015 Fall,3,4.55,,1540,1
852477606,2017 Fall,1,4.55,30,,1
208027549,2016 Fall,3,4.54,28,1260,1
4545888,2015 Fall,4,4.54,24,1300,1
998336474,2015 Fall,4,4.54,33,1460,1
25646703,2017 Fall,1,4.54,,1540,1
908777320,2017 Fall,1,4.54,,1420,1
74002173,2014 Fall,3,4.54,31,,1
798712116,2014 Fall,1,4.54,,1440,1
567740112,2015 Fall,1,4.54,28,,1
257126743,2016 Fall,1,4.54,32,,1
131219702,2016 Fall,1,4.54,30,,1
265567579,2016 Fall,1,4.54,33,,1
496198022,2017 Fall,2,4.54,30,1470,1
205087984,2014 Fall,1,4.54,32,1480,1
747646618,2015 Fall,3,4.54,31,1550,1
831560011,2015 Fall,2,4.54,,1480,1
835536989,2017 Fall,1,4.54,33,1340,1
803837765,2017 Fall,1,4.53,30,,1
389275308,2014 Fall,2,4.53,27,1170,1
42608512,2015 Fall,3,4.53,25,,1
285247563,2015 Fall,2,4.53,27,1260,1
608515151,2015 Fall,1,4.53,,1580,1
466831987,2015 Fall,2,4.53,34,,1
570244980,2015 Fall,1,4.53,32,1340,1
972174471,2015 Fall,2,4.53,26,1110,1
588147505,2015 Fall,3,4.53,32,,1
42608512,2016 Fall,3,4.53,25,,1
175127599,2016 Fall,1,4.53,31,1480,1
551812941,2016 Fall,1,4.53,26,1250,1
965053996,2016 Fall,2,4.53,28,1330,1
42109375,2016 Fall,1,4.53,24,1240,1
187988671,2016 Fall,3,4.53,,1310,1
227360252,2017 Fall,3,4.53,30,,1
272926496,2017 Fall,1,4.53,,1320,1
36621490,2017 Fall,2,4.53,30,1260,1
289891360,2017 Fall,1,4.53,,1400,1
477687375,2017 Fall,1,4.53,30,1260,1
603479507,2017 Fall,1,4.53,26,1230,1
753698956,2017 Fall,2,4.53,,1400,1
32001723,2014 Fall,2,4.53,,1540,1
599382127,2014 Fall,1,4.53,33,1480,1
679186792,2014 Fall,2,4.53,,1510,1
794780795,2014 Fall,1,4.53,33,1420,1
524300774,2015 Fall,1,4.53,32,,1
630164084,2015 Fall,3,4.53,,1420,1
911595978,2015 Fall,2,4.53,35,1560,1
769905009,2015 Fall,1,4.53,34,1480,1
823569887,2015 Fall,3,4.53,,1420,1
846448914,2015 Fall,1,4.53,,1410,1
347592213,2016 Fall,1,4.53,,1330,1
120635100,2016 Fall,1,4.53,30,1450,1
294455421,2016 Fall,1,4.53,,1290,1
965369427,2017 Fall,2,4.53,30,1310,1
100769615,2017 Fall,3,4.53,,1460,1
722792979,2017 Fall,2,4.53,,1450,1
930698892,2014 Fall,1,4.53,,1480,1
332792358,2015 Fall,3,4.53,,1510,1
768735915,2017 Fall,1,4.53,35,,1
880958127,2017 Fall,1,4.53,32,1360,1
506309350,2014 Fall,1,4.52,28,1240,1
135435967,2015 Fall,4,4.52,25,1280,1
164606684,2015 Fall,3,4.52,31,1420,1
994449216,2015 Fall,1,4.52,,1510,1
853299533,2015 Fall,1,4.52,33,,1
941284167,2016 Fall,1,4.52,33,,1
182045738,2016 Fall,1,4.52,30,,1
318067843,2016 Fall,2,4.52,,1310,1
155501305,2014 Fall,2,4.52,36,,1
256914895,2015 Fall,3,4.52,33,1460,1
286480957,2015 Fall,1,4.52,31,,1
332311080,2017 Fall,3,4.52,33,,1
851754742,2017 Fall,1,4.52,29,1430,1
41322499,2015 Fall,2,4.52,,1280,1
95557919,2016 Fall,2,4.52,32,1390,1
530263862,2016 Fall,2,4.51,,1490,1
817077098,2014 Fall,1,4.51,34,1470,1
206626543,2015 Fall,3,4.51,,1460,1
511137655,2016 Fall,4,4.51,,1360,1
85422718,2016 Fall,1,4.51,,1560,1
405678143,2016 Fall,3,4.51,,1230,1
504373930,2016 Fall,1,4.51,34,,1
287447665,2017 Fall,2,4.51,25,,1
85124621,2017 Fall,1,4.51,,1370,1
834775574,2014 Fall,1,4.51,,1500,1
443186598,2015 Fall,1,4.51,31,,1
259139173,2016 Fall,1,4.51,32,,1
857475033,2017 Fall,3,4.51,33,1530,1
955750288,2017 Fall,1,4.51,26,1420,1
310606913,2014 Fall,1,4.51,28,1440,1
876999351,2014 Fall,1,4.51,,1510,1
54727995,2015 Fall,3,4.51,30,,1
316557796,2017 Fall,1,4.51,,1460,1
576551243,2016 Fall,2,4.5,25,1280,1
766530361,2016 Fall,5,4.5,24,1180,1
78823386,2016 Fall,3,4.5,22,1020,1
236948092,2014 Fall,3,4.5,26,1300,1
865195972,2014 Fall,3,4.5,,1280,1
91479914,2014 Fall,,4.5,,1330,1
272588798,2014 Fall,1,4.5,29,1360,1
749648982,2015 Fall,1,4.5,29,1270,1
256626700,2015 Fall,1,4.5,,1410,1
769098170,2015 Fall,3,4.5,,1370,1
785205884,2015 Fall,4,4.5,,1280,1
20325625,2015 Fall,2,4.5,32,1440,1
382500687,2015 Fall,1,4.5,30,,1
882059920,2015 Fall,1,4.5,22,,1
86210614,2016 Fall,4,4.5,32,1540,1
250941920,2016 Fall,2,4.5,,1580,1
17203376,2016 Fall,2,4.5,,1310,1
130972381,2016 Fall,3,4.5,,1420,1
284123985,2016 Fall,2,4.5,30,1260,1
811236955,2016 Fall,1,4.5,,1500,1
147653193,2017 Fall,1,4.5,,1390,1
162689561,2017 Fall,1,4.5,33,1380,1
219172823,2017 Fall,1,4.5,31,1290,1
798492030,2017 Fall,1,4.5,29,1320,1
884826421,2017 Fall,3,4.5,33,1420,1
990001209,2017 Fall,1,4.5,,1350,1
991201048,2017 Fall,3,4.5,30,,1
6343932,2017 Fall,2,4.5,28,1370,1
13629437,2017 Fall,3,4.5,,1470,1
75777860,2017 Fall,3,4.5,,1240,1
126307885,2017 Fall,3,4.5,28,1330,1
168852868,2017 Fall,1,4.5,,1360,1
603064788,2017 Fall,1,4.5,26,,1
515082212,2014 Fall,3,4.5,30,1360,1
76349170,2014 Fall,1,4.5,,1350,1
199320054,2014 Fall,1,4.5,,1340,1
311120493,2014 Fall,1,4.5,,1480,1
728539735,2014 Fall,1,4.5,,1340,1
885551211,2014 Fall,1,4.5,34,,1
905473531,2014 Fall,1,4.5,,1330,1
44540472,2014 Fall,1,4.5,34,1520,1
427285554,2014 Fall,3,4.5,,1420,1
636736331,2014 Fall,1,4.5,30,1320,1
708694115,2014 Fall,2,4.5,32,1410,1
602280312,2015 Fall,2,4.5,,1510,1
89288283,2015 Fall,1,4.5,28,1300,1
530413094,2015 Fall,3,4.5,,1560,1
760561524,2015 Fall,3,4.5,28,,1
809096206,2015 Fall,2,4.5,33,1300,1
823831827,2015 Fall,2,4.5,33,1450,1
986445096,2015 Fall,4,4.5,28,,1
143440206,2015 Fall,1,4.5,31,1360,1
50790401,2016 Fall,3,4.5,26,1370,1
301916425,2017 Fall,3,4.5,,1390,1
965485537,2017 Fall,3,4.5,32,,1
153859572,2017 Fall,4,4.5,32,1400,1
393982613,2017 Fall,1,4.5,28,1190,1
752882759,2017 Fall,1,4.5,30,,1
796853747,2017 Fall,1,4.5,23,1210,1
657999158,2017 Fall,1,4.5,24,1240,1
781176902,2014 Fall,4,4.5,,1530,1
195587093,2015 Fall,2,4.5,,1420,1
745027155,2015 Fall,1,4.5,33,,1
793123958,2015 Fall,3,4.5,29,1350,1
461396591,2017 Fall,2,4.5,31,1430,1
540560265,2015 Fall,2,4.5,,1470,1
129635473,2014 Fall,3,4.49,26,1180,1
55834531,2015 Fall,3,4.49,30,1340,1
631125917,2015 Fall,1,4.49,33,1550,1
469925263,2016 Fall,3,4.49,,1540,1
930589113,2016 Fall,1,4.49,,1340,1
43722543,2017 Fall,1,4.49,29,1420,1
453839956,2017 Fall,3,4.49,,1370,1
517968843,2017 Fall,3,4.49,26,,1
87637041,2017 Fall,2,4.49,31,1300,1
824602911,2017 Fall,3,4.49,29,1240,1
815400419,2014 Fall,1,4.49,35,1470,1
455689998,2014 Fall,1,4.49,,1380,1
453630202,2014 Fall,3,4.49,,1540,1
300793547,2015 Fall,2,4.49,,1450,1
660499382,2015 Fall,2,4.49,,1350,1
